book_id,title,authors,average_rating,ratings_count,original_publication_year,image_url,description,pages,genres
16,Män som hatar kvinnor,Stieg Larsson,4.11,1808403,2005.0,https://images.gr-assets.com/books/1327868566m/2429135.jpg,A compelling read by Stieg Larsson exploring profound themes with memorable character depth.,1253,[]
17,Catching Fire,Suzanne Collins,4.3,1831039,2009.0,https://images.gr-assets.com/books/1358273780m/6148028.jpg,Katniss must survive the brutal Hunger Games and become a symbol of resistance.,1626,[]
18,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.53,1832823,1999.0,https://images.gr-assets.com/books/1499277281m/5.jpg,A captivating narrative by J.K. Rowling that has resonated with readers globally.,2106,[]
19,The Fellowship of the Ring,J.R.R. Tolkien,4.34,1766803,1954.0,https://images.gr-assets.com/books/1298411339m/34.jpg,"A highly regarded work by J.R.R. Tolkien, offering a memorable and engaging reading experience.",1768,[]
20,Mockingjay,Suzanne Collins,4.03,1719760,2010.0,https://images.gr-assets.com/books/1358275419m/7260188.jpg,An impactful story by Suzanne Collins that stands as a notable entry in its genre.,1208,[]
21,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.46,1735368,2003.0,https://images.gr-assets.com/books/1387141547m/2.jpg,A brilliant publication by J.K. Rowling that continues to engage and inspire audiences.,1819,"['Non-Fiction', 'Historical', 'Fiction']"
22,The Lovely Bones,Alice Sebold,3.77,1605173,2002.0,https://images.gr-assets.com/books/1457810586m/12232938.jpg,A young girl dies and watches her family from heaven as they struggle to cope.,1513,[]
23,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.37,1779331,1998.0,https://images.gr-assets.com/books/1474169725m/15881.jpg,A beautifully crafted book by J.K. Rowling that captures the imagination from start to finish.,1710,[]
24,Harry Potter and the Goblet of Fire,J.K. Rowling,4.53,1753043,2000.0,https://images.gr-assets.com/books/1361482611m/6.jpg,A captivating narrative by J.K. Rowling that has resonated with readers globally.,1881,"['Non-Fiction', 'Memoir', 'Biography', 'Fiction']"
25,Harry Potter and the Deathly Hallows,J.K. Rowling,4.61,1746574,2007.0,https://images.gr-assets.com/books/1474171184m/136251.jpg,"A highly regarded work by J.K. Rowling, offering a memorable and engaging reading experience.",1618,"['Non-Fiction', 'Memoir', 'Biography', 'Fiction']"
26,The Da Vinci Code,Dan Brown,3.79,1447148,2003.0,https://images.gr-assets.com/books/1303252999m/968.jpg,An impactful story by Dan Brown that stands as a notable entry in its genre.,1977,"['Non-Fiction', 'Memoir', 'Biography', 'Fiction']"
27,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.54,1678823,2005.0,https://images.gr-assets.com/books/1361039191m/1.jpg,A brilliant publication by J.K. Rowling that continues to engage and inspire audiences.,1867,"['Non-Fiction', 'Memoir', 'Biography']"
28,Lord of the Flies,William Golding,3.64,1605019,1954.0,https://images.gr-assets.com/books/1327869409m/7624.jpg,A compelling read by William Golding exploring profound themes with memorable character depth.,1738,"['Non-Fiction', 'Memoir', 'Biography', 'Fiction', 'Contemporary']"
29,An Excellent conceited Tragedie of Romeo and Juliet,William Shakespeare,3.73,1628519,1595.0,https://images.gr-assets.com/books/1327872146m/18135.jpg,Star-crossed lovers Romeo and Juliet face a tragic end due to feuding families.,1181,"['Non-Fiction', 'Historical']"
30,Gone Girl,Gillian Flynn,4.03,512475,2012.0,https://images.gr-assets.com/books/1339602131m/8442457.jpg,A captivating narrative by Gillian Flynn that has resonated with readers globally.,2003,"['Fiction', 'Fantasy', 'YA', 'Classics', 'Sci-Fi']"
31,The Help,Kathryn Stockett,4.45,1531753,2009.0,https://images.gr-assets.com/books/1346100365m/4667024.jpg,"A highly regarded work by Kathryn Stockett, offering a memorable and engaging reading experience.",2123,[]
32,Of Mice and Men,John Steinbeck,3.84,1467496,1937.0,https://images.gr-assets.com/books/1437235233m/890.jpg,An impactful story by John Steinbeck that stands as a notable entry in its genre.,1164,[]
33,Memoirs of a Geisha,Arthur Golden,4.08,1300209,1997.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,A brilliant publication by Arthur Golden that continues to engage and inspire audiences.,1586,"['Fantasy', 'Classics', 'Fiction', 'YA', 'Sci-Fi', 'Young Adult']"
34,Fifty Shades of Grey,E.L. James,3.67,1338493,2011.0,https://images.gr-assets.com/books/1385207843m/10818853.jpg,A compelling read by E.L. James exploring profound themes with memorable character depth.,1311,"['Fantasy', 'Classics', 'Fiction', 'YA', 'Sci-Fi', 'Young Adult']"
35,O Alquimista,Paulo Coelho,3.82,1299566,1988.0,https://images.gr-assets.com/books/1483412266m/865.jpg,A beautifully crafted book by Paulo Coelho that captures the imagination from start to finish.,1905,[]
36,The Giver,Lois Lowry,4.12,1296825,1993.0,https://images.gr-assets.com/books/1342493368m/3636.jpg,A captivating narrative by Lois Lowry that has resonated with readers globally.,1866,"['Fantasy', 'Non-Fiction']"
37,"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.19,1531800,1950.0,https://images.gr-assets.com/books/1353029077m/100915.jpg,"A highly regarded work by C.S. Lewis, offering a memorable and engaging reading experience.",1169,[]
38,The Time Traveler's Wife,Audrey Niffenegger,3.95,746287,2003.0,https://images.gr-assets.com/books/1437728815m/14050.jpg,An impactful story by Audrey Niffenegger that stands as a notable entry in its genre.,2052,[]
39,A Game of Thrones,George R.R. Martin,4.45,1319204,1996.0,https://images.gr-assets.com/books/1436732693m/13496.jpg,A brilliant publication by George R.R. Martin that continues to engage and inspire audiences.,1217,[]
40,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,3.51,1181647,2006.0,https://images.gr-assets.com/books/1503066414m/19501.jpg,"Elizabeth Gilbert's journey through Italy, India, and Indonesia explores food, spirituality, and love, seeking joy and self-discovery.",1957,[]
41,The Lightning Thief,Rick Riordan,4.23,1366265,2005.0,https://images.gr-assets.com/books/1400602609m/28187.jpg,A beautifully crafted book by Rick Riordan that captures the imagination from start to finish.,1548,[]
42,Little Women,Louisa May Alcott,4.04,1257121,1868.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,A captivating narrative by Louisa May Alcott that has resonated with readers globally.,1394,[]
43,Jane Eyre,Charlotte Brontë,4.1,1198557,1847.0,https://images.gr-assets.com/books/1327867269m/10210.jpg,"A highly regarded work by Charlotte Brontë, offering a memorable and engaging reading experience.",1190,[]
44,The Notebook,Nicholas Sparks,4.06,1053403,1996.0,https://images.gr-assets.com/books/1385738917m/15931.jpg,An impactful story by Nicholas Sparks that stands as a notable entry in its genre.,1201,[]
45,Life of Pi,Yann Martel,3.88,1003228,2001.0,https://images.gr-assets.com/books/1320562005m/4214.jpg,A brilliant publication by Yann Martel that continues to engage and inspire audiences.,1794,[]
46,Water for Elephants,Sara Gruen,4.07,1068146,2006.0,https://images.gr-assets.com/books/1494428973m/43641.jpg,A compelling read by Sara Gruen exploring profound themes with memorable character depth.,1661,[]
47,The Book Thief,Markus Zusak,4.36,1159741,2005.0,https://images.gr-assets.com/books/1390053681m/19063.jpg,A beautifully crafted book by Markus Zusak that captures the imagination from start to finish.,1147,[]
48,Fahrenheit 451,Ray Bradbury,3.97,570498,1953.0,https://images.gr-assets.com/books/1351643740m/4381.jpg,A captivating narrative by Ray Bradbury that has resonated with readers globally.,1135,[]
49,"New Moon (Twilight, #2)",Stephenie Meyer,3.52,1149630,2006.0,https://images.gr-assets.com/books/1361039440m/49041.jpg,"A highly regarded work by Stephenie Meyer, offering a memorable and engaging reading experience.",1087,[]
50,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein,4.29,1016888,1974.0,https://images.gr-assets.com/books/1168052448m/30119.jpg,An impactful story by Shel Silverstein that stands as a notable entry in its genre.,1893,"['YA', 'Fiction', 'Classics', 'Young Adult', 'Contemporary', 'Literary Fiction']"
51,City of Bones,Cassandra Clare,4.12,1154031,2007.0,https://images.gr-assets.com/books/1432730315m/256683.jpg,A brilliant publication by Cassandra Clare that continues to engage and inspire audiences.,1854,[]
52,Eclipse,Stephenie Meyer,3.69,1134511,2007.0,https://images.gr-assets.com/books/1361038355m/428263.jpg,A compelling read by Stephenie Meyer exploring profound themes with memorable character depth.,1070,[]
53,Eragon,Christopher Paolini,3.86,1104021,2002.0,https://images.gr-assets.com/books/1366212852m/113436.jpg,A beautifully crafted book by Christopher Paolini that captures the imagination from start to finish.,1672,[]
54,The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.2,936782,1979.0,https://images.gr-assets.com/books/1327656754m/11.jpg,A captivating narrative by Douglas Adams that has resonated with readers globally.,1102,[]
55,Brave New World,Aldous Huxley,3.97,1022601,1932.0,https://images.gr-assets.com/books/1487389574m/5129.jpg,"A highly regarded work by Aldous Huxley, offering a memorable and engaging reading experience.",2084,[]
56,Breaking Dawn,Stephenie Meyer,3.7,1070245,2008.0,https://images.gr-assets.com/books/1361039438m/1162543.jpg,An impactful story by Stephenie Meyer that stands as a notable entry in its genre.,2089,[]
57,The Secret Life of Bees,Sue Monk Kidd,4.01,916189,2001.0,https://images.gr-assets.com/books/1473454532m/37435.jpg,A brilliant publication by Sue Monk Kidd that continues to engage and inspire audiences.,1838,[]
58,The Adventures of Huckleberry Finn,Mark Twain,3.8,953758,1884.0,https://images.gr-assets.com/books/1405973850m/2956.jpg,A compelling read by Mark Twain exploring profound themes with memorable character depth.,2111,[]
59,Charlotte's Web,E.B. White,4.15,1064521,1952.0,https://images.gr-assets.com/books/1439632243m/24178.jpg,A beautifully crafted book by E.B. White that captures the imagination from start to finish.,1974,[]
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.85,867553,2003.0,https://images.gr-assets.com/books/1479863624m/1618.jpg,A captivating narrative by Mark Haddon that has resonated with readers globally.,1994,[]
61,The Girl on the Train,Paula Hawkins,3.88,1008778,2015.0,https://images.gr-assets.com/books/1490903702m/22557272.jpg,"A highly regarded work by Paula Hawkins, offering a memorable and engaging reading experience.",1684,[]
62,Northern Lights,Philip Pullman,3.94,953970,1995.0,https://images.gr-assets.com/books/1451271747m/119322.jpg,An impactful story by Philip Pullman that stands as a notable entry in its genre.,1367,[]
63,Wuthering Heights,Emily Brontë,3.82,899195,1847.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,A brilliant publication by Emily Brontë that continues to engage and inspire audiences.,1261,[]
64,My Sister's Keeper,Jodi Picoult,4.06,863879,2004.0,https://images.gr-assets.com/books/1369504683m/10917.jpg,A compelling read by Jodi Picoult exploring profound themes with memorable character depth.,1393,[]
65,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death",Kurt Vonnegut Jr.,4.06,846488,1969.0,https://images.gr-assets.com/books/1440319389m/4981.jpg,A beautifully crafted book by Kurt Vonnegut Jr. that captures the imagination from start to finish.,1754,[]
66,Gone with the Wind,Margaret Mitchell,4.28,873981,1936.0,https://images.gr-assets.com/books/1328025229m/18405.jpg,A captivating narrative by Margaret Mitchell that has resonated with readers globally.,1207,[]
67,A Thousand Splendid Suns,Khaled Hosseini,4.34,818742,2007.0,https://images.gr-assets.com/books/1345958969m/128029.jpg,"A highly regarded work by Khaled Hosseini, offering a memorable and engaging reading experience.",1310,"['Historical', 'Fiction', 'Non-Fiction', 'Literary', 'Literary Fiction', 'Contemporary']"
68,The Perks of Being a Wallflower,Stephen Chbosky,4.21,888806,1999.0,https://images.gr-assets.com/books/1167352178m/22628.jpg,An impactful story by Stephen Chbosky that stands as a notable entry in its genre.,1562,[]
69,Insurgent,Veronica Roth,4.07,836362,2012.0,https://images.gr-assets.com/books/1325667729m/11735983.jpg,A brilliant publication by Veronica Roth that continues to engage and inspire audiences.,1280,[]
70,Ender's Game,Orson Scott Card,4.3,813439,1985.0,https://images.gr-assets.com/books/1408303130m/375802.jpg,A compelling read by Orson Scott Card exploring profound themes with memorable character depth.,1706,[]
71,"Frankenstein; or, The Modern Prometheus",Mary Wollstonecraft Shelley,3.75,808589,1818.0,https://images.gr-assets.com/books/1381512375m/18490.jpg,A beautifully crafted book by Mary Wollstonecraft Shelley that captures the imagination from start to finish.,2108,[]
72,The Shining,Stephen King,4.17,791850,1977.0,https://images.gr-assets.com/books/1353277730m/11588.jpg,A captivating narrative by Stephen King that has resonated with readers globally.,1898,[]
73,The Host,Stephenie Meyer,3.84,749780,2008.0,https://images.gr-assets.com/books/1318009171m/1656001.jpg,"A highly regarded work by Stephenie Meyer, offering a memorable and engaging reading experience.",1800,[]
74,Looking for Alaska,John Green,4.09,783470,2005.0,https://images.gr-assets.com/books/1394798630m/99561.jpg,An impactful story by John Green that stands as a notable entry in its genre.,1699,[]
75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.75,736498,1996.0,https://images.gr-assets.com/books/1292060045m/227443.jpg,A brilliant publication by Helen Fielding that continues to engage and inspire audiences.,1586,[]
76,Sense and Sensibility,Jane Austen,4.06,738894,1811.0,https://images.gr-assets.com/books/1397245675m/14935.jpg,A compelling read by Jane Austen exploring profound themes with memorable character depth.,1224,[]
77,Holes,Louis Sachar,3.93,747445,1998.0,https://images.gr-assets.com/books/1327781893m/38709.jpg,A beautifully crafted book by Louis Sachar that captures the imagination from start to finish.,2074,[]
78,The Devil Wears Prada,Lauren Weisberger,3.7,665930,2003.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,A captivating narrative by Lauren Weisberger that has resonated with readers globally.,1298,[]
79,Ὀδύσσεια,Homer,3.73,670326,-720.0,https://images.gr-assets.com/books/1390173285m/1381.jpg,"A highly regarded work by Homer, offering a memorable and engaging reading experience.",1110,[]
80,Le Petit Prince,Antoine de Saint-Exupéry,4.28,738757,1946.0,https://images.gr-assets.com/books/1367545443m/157993.jpg,An impactful story by Antoine de Saint-Exupéry that stands as a notable entry in its genre.,1900,[]
81,The Glass Castle,Jeannette Walls,4.24,621099,2005.0,https://images.gr-assets.com/books/1400930557m/7445.jpg,A brilliant publication by Jeannette Walls that continues to engage and inspire audiences.,1211,[]
82,Into the Wild,Jon Krakauer,3.94,647684,1996.0,https://images.gr-assets.com/books/1403173986m/1845.jpg,A compelling read by Jon Krakauer exploring profound themes with memorable character depth.,1446,[]
83,A Tale of Two Cities,Charles Dickens,3.81,637412,1859.0,https://images.gr-assets.com/books/1344922523m/1953.jpg,A beautifully crafted book by Charles Dickens that captures the imagination from start to finish.,1034,[]
84,Jurassic Park,Michael Crichton,3.96,447833,1990.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,A captivating narrative by Michael Crichton that has resonated with readers globally.,1164,[]
85,The Giving Tree,Shel Silverstein,4.38,702332,1964.0,https://images.gr-assets.com/books/1174210942m/370493.jpg,"A highly regarded work by Shel Silverstein, offering a memorable and engaging reading experience.",1208,[]
86,A Time to Kill,John Grisham,4.03,597775,1989.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,An impactful story by John Grisham that stands as a notable entry in its genre.,1065,[]
87,Un di Velt Hot Geshvign,Elie Wiesel,4.3,691231,1958.0,https://images.gr-assets.com/books/1473495285m/1617.jpg,A brilliant publication by Elie Wiesel that continues to engage and inspire audiences.,1788,[]
88,Paper Towns,John Green,3.88,461311,2008.0,https://images.gr-assets.com/books/1349013610m/6442769.jpg,A compelling read by John Green exploring profound themes with memorable character depth.,2004,[]
89,The Princess Bride,William Goldman,4.25,628637,1973.0,https://images.gr-assets.com/books/1327903636m/21787.jpg,A beautifully crafted book by William Goldman that captures the imagination from start to finish.,1448,[]
90,The Outsiders,S.E. Hinton,4.06,659248,1967.0,https://images.gr-assets.com/books/1442129426m/231804.jpg,A captivating narrative by S.E. Hinton that has resonated with readers globally.,2049,[]
91,The Maze Runner,James Dashner,4.02,719925,2009.0,https://images.gr-assets.com/books/1375596592m/6186357.jpg,"A highly regarded work by James Dashner, offering a memorable and engaging reading experience.",1256,[]
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,3.93,524191,2005.0,https://images.gr-assets.com/books/1327909092m/1202.jpg,An impactful story by Steven D. Levitt that stands as a notable entry in its genre.,1390,[]
93,The Secret Garden,Frances Hodgson Burnett,4.12,639357,1911.0,https://images.gr-assets.com/books/1327873635m/2998.jpg,A brilliant publication by Frances Hodgson Burnett that continues to engage and inspire audiences.,1181,"['Classics', 'Fiction', 'YA', 'Historical', 'Young Adult']"
94,Cien años de soledad,Gabriel García Márquez,4.04,490565,1967.0,https://images.gr-assets.com/books/1327881361m/320.jpg,A compelling read by Gabriel García Márquez exploring profound themes with memorable character depth.,1745,[]
95,The Picture of Dorian Gray,Oscar Wilde,4.06,590014,1891.0,https://images.gr-assets.com/books/1424596966m/5297.jpg,A beautifully crafted book by Oscar Wilde that captures the imagination from start to finish.,1504,[]
96,Fifty Shades Freed,E.L. James,3.88,387290,2012.0,https://images.gr-assets.com/books/1336418837m/13536860.jpg,A captivating narrative by E.L. James that has resonated with readers globally.,1736,[]
97,Dracula,Bram Stoker,3.98,618973,1897.0,https://images.gr-assets.com/books/1387151694m/17245.jpg,"A highly regarded work by Bram Stoker, offering a memorable and engaging reading experience.",1914,[]
98,Flickan som lekte med elden,Stieg Larsson,4.22,563994,2006.0,https://images.gr-assets.com/books/1351778881m/5060378.jpg,An impactful story by Stieg Larsson that stands as a notable entry in its genre.,1655,['Non-Fiction']
99,Fifty Shades Darker,E.L. James,3.87,552059,2011.0,https://images.gr-assets.com/books/1358266080m/11857408.jpg,A brilliant publication by E.L. James that continues to engage and inspire audiences.,1753,[]
100,The Poisonwood Bible,Barbara Kingsolver,4.02,546502,1998.0,https://images.gr-assets.com/books/1412242487m/7244.jpg,A compelling read by Barbara Kingsolver exploring profound themes with memorable character depth.,2122,[]
101,Me Talk Pretty One Day,David Sedaris,3.97,495736,2000.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,A beautifully crafted book by David Sedaris that captures the imagination from start to finish.,1359,[]
102,Where the Wild Things Are,Maurice Sendak,4.22,620618,1963.0,https://images.gr-assets.com/books/1384434560m/19543.jpg,A captivating narrative by Maurice Sendak that has resonated with readers globally.,1431,[]
103,Le Comte de Monte-Cristo,Alexandre Dumas,4.21,555822,1844.0,https://images.gr-assets.com/books/1309203605m/7126.jpg,"A highly regarded work by Alexandre Dumas, offering a memorable and engaging reading experience.",1861,[]
104,The Road,Cormac McCarthy,3.95,504793,2006.0,https://images.gr-assets.com/books/1439197219m/6288.jpg,An impactful story by Cormac McCarthy that stands as a notable entry in its genre.,1734,[]
105,Allegiant,Veronica Roth,3.63,463257,2013.0,https://images.gr-assets.com/books/1395582745m/18710190.jpg,A brilliant publication by Veronica Roth that continues to engage and inspire audiences.,1214,"['Sci-Fi', 'Fiction', 'Fantasy', 'Classics']"
106,Bossypants,Tina Fey,3.94,506250,2011.0,https://images.gr-assets.com/books/1481509554m/9418327.jpg,A compelling read by Tina Fey exploring profound themes with memorable character depth.,1451,"['Fiction', 'Fantasy', 'Sci-Fi', 'Classics']"
107,A Walk to Remember,Nicholas Sparks,4.15,546948,1999.0,https://images.gr-assets.com/books/1385738968m/3473.jpg,A beautifully crafted book by Nicholas Sparks that captures the imagination from start to finish.,1561,[]
108,Confessions of a Shopaholic,Sophie Kinsella,3.61,543658,2000.0,https://images.gr-assets.com/books/1327872404m/9416.jpg,A captivating narrative by Sophie Kinsella that has resonated with readers globally.,1503,[]
109,Les Misérables,Victor Hugo,4.14,513407,1862.0,https://images.gr-assets.com/books/1411852091m/24280.jpg,"A highly regarded work by Victor Hugo, offering a memorable and engaging reading experience.",1214,[]
110,A Clash of Kings,George R.R. Martin,4.4,523303,1998.0,https://images.gr-assets.com/books/1358254974m/10572.jpg,An impactful story by George R.R. Martin that stands as a notable entry in its genre.,2109,[]
111,The Memory Keeper's Daughter,Kim Edwards,3.64,501430,2005.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,A brilliant publication by Kim Edwards that continues to engage and inspire audiences.,1915,[]
112,Me Before You,Jojo Moyes,4.27,587647,2012.0,https://images.gr-assets.com/books/1357108762m/15507958.jpg,A compelling read by Jojo Moyes exploring profound themes with memorable character depth.,1578,"['Sci-Fi', 'Fiction', 'Fantasy', 'Classics']"
113,Catch-22,Joseph Heller,3.98,563265,1961.0,https://images.gr-assets.com/books/1463157317m/168668.jpg,A beautifully crafted book by Joseph Heller that captures the imagination from start to finish.,1816,[]
114,Tuesdays with Morrie,Mitch Albom,4.06,556518,1997.0,https://images.gr-assets.com/books/1423763749m/6900.jpg,A captivating narrative by Mitch Albom that has resonated with readers globally.,2077,[]
115,Middlesex,Jeffrey Eugenides,3.98,488243,2002.0,https://images.gr-assets.com/books/1437029776m/2187.jpg,"A highly regarded work by Jeffrey Eugenides, offering a memorable and engaging reading experience.",1163,[]
116,The Adventures of Tom Sawyer,Mark Twain,3.89,555359,1876.0,https://images.gr-assets.com/books/1404811979m/24583.jpg,An impactful story by Mark Twain that stands as a notable entry in its genre.,1300,[]
117,A Wrinkle in Time,Madeleine L'Engle,4.04,615907,1962.0,https://images.gr-assets.com/books/1329061522m/18131.jpg,A brilliant publication by Madeleine L'Engle that continues to engage and inspire audiences.,1651,"['Sci-Fi', 'Fiction', 'Fantasy', 'Classics']"
118,The Joy Luck Club,Amy Tan,3.9,515090,1989.0,https://images.gr-assets.com/books/1304978653m/7763.jpg,A compelling read by Amy Tan exploring profound themes with memorable character depth.,1959,[]
119,The Handmaid's Tale,Margaret Atwood,4.06,607889,1985.0,https://images.gr-assets.com/books/1498057733m/38447.jpg,A beautifully crafted book by Margaret Atwood that captures the imagination from start to finish.,1044,"['Fantasy', 'Non-Fiction']"
120,The Sisterhood of the Traveling Pants,Ann Brashares,3.75,525706,2001.0,https://images.gr-assets.com/books/1461611233m/452306.jpg,A captivating narrative by Ann Brashares that has resonated with readers globally.,2181,[]
121,Lolita,Vladimir Nabokov,3.88,469836,1955.0,https://images.gr-assets.com/books/1377756377m/7604.jpg,"A highly regarded work by Vladimir Nabokov, offering a memorable and engaging reading experience.",1546,[]
122,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,3.52,506900,1995.0,https://images.gr-assets.com/books/1437733293m/37442.jpg,An impactful story by Gregory Maguire that stands as a notable entry in its genre.,1431,"['Fiction', 'Historical', 'Classics', 'YA', 'Non-Fiction', 'Contemporary', 'Literary Fiction', 'Young Adult']"
123,The Firm,John Grisham,3.99,488269,1991.0,https://images.gr-assets.com/books/1418465200m/5358.jpg,A brilliant publication by John Grisham that continues to engage and inspire audiences.,1351,[]
124,Room,Emma Donoghue,4.03,511360,2010.0,https://images.gr-assets.com/books/1344265419m/7937843.jpg,A compelling read by Emma Donoghue exploring profound themes with memorable character depth.,1209,[]
125,"The Tragicall Historie of Hamlet, Prince of Denmark",William Shakespeare,4.0,515820,1600.0,https://images.gr-assets.com/books/1351051208m/1420.jpg,A beautifully crafted book by William Shakespeare that captures the imagination from start to finish.,1950,[]
126,Dune,Frank Herbert,4.19,485032,1965.0,https://images.gr-assets.com/books/1434908555m/234225.jpg,A captivating narrative by Frank Herbert that has resonated with readers globally.,2146,[]
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.92,490504,2000.0,https://images.gr-assets.com/books/1473396980m/2612.jpg,"A highly regarded work by Malcolm Gladwell, offering a memorable and engaging reading experience.",1496,[]
128,Steve Jobs,Walter Isaacson,4.09,560715,2011.0,https://images.gr-assets.com/books/1327861368m/11084145.jpg,An impactful story by Walter Isaacson that stands as a notable entry in its genre.,2143,[]
